"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
"1",1,1124685,1124685,59,120,400,499.656946890636
"2",2,1124565,1124565,59,120,404.0816,499.656946890636
"3",3,1124445,1124445,62,120,408.1632,529.560023322844
"4",4,1124325,1124325,55,140,412.2448,451.743629352886
"5",5,1124185,1124185,64,120,416.3264,546.524767348511
"6",6,1124065,1124065,57,140,420.408,472.474554159532
"7",7,1123925,1123925,59,140,424.4896,496.343127216386
"8",8,1123785,1123785,63,120,428.5712,532.149030571937
"9",9,1123665,1123665,55,140,432.6528,450.909115770703
"10",10,1123525,1123525,64,120,436.7344,545.272890556323
"11",11,1123405,1123405,57,140,440.816,475.314933940741
"12",12,1123265,1123265,59,140,444.8976,493.043899753687
"13",13,1123125,1123125,63,140,448.9792,534.594960826686
"14",14,1122985,1122985,55,160,453.0608,450.289260418072
"15",15,1122825,1122825,64,140,457.1424,543.82014661822
"16",16,1122685,1122685,57,160,461.224,478.262502355443
"17",17,1122525,1122525,58,160,465.3056,489.773792458137
"18",18,1122365,1122365,63,140,469.3872,536.88704357595
"19",19,1122225,1122225,54,160,473.4688,449.886792791865
"20",20,1122065,1122065,64,140,477.5504,542.172932607356
"21",21,1121925,1121925,58,160,481.632,481.304279958137
"22",22,1121765,1121765,58,160,485.7136,486.547205056378
"23",23,1121605,1121605,63,140,489.7952,539.015185767104
"24",24,1121465,1121465,54,180,493.8768,449.703485134787
"25",25,1121285,1121285,64,140,497.9584,540.3385019345
"26",26,1121145,1121145,58,160,502.04,484.426872458659
"27",27,1120985,1120985,58,160,506.121599999999,483.378345637738
"28",28,1120825,1120825,64,140,510.203199999999,540.9700162502
"29",29,1120685,1120685,54,180,514.284799999999,449.740144631409
"30",30,1120505,1120505,63,160,518.366399999999,538.324932408069
"31",31,1120345,1120345,58,180,522.447999999999,487.616529703158
"32",32,1120165,1120165,58,180,526.529599999999,480.281168089743
"33",33,1119985,1119985,64,160,530.611199999999,542.742927043285
"34",34,1119825,1119825,54,180,534.692799999999,449.996609853776
"35",35,1119645,1119645,63,160,538.774399999999,536.141090663965
"36",36,1119485,1119485,59,180,542.855999999999,490.859206222097
"37",37,1119305,1119305,57,180,546.937599999999,477.269310652981
"38",38,1119125,1119125,64,160,551.019199999999,544.326111237143
"39",39,1118965,1118965,55,200,555.100799999999,450.471751472249
"40",40,1118765,1118765,63,160,559.182399999999,533.796593121867
"41",41,1118605,1118605,59,180,563.263999999999,494.14062307866
"42",42,1118425,1118425,57,180,567.345599999999,474.356035865914
"43",43,1118245,1118245,64,160,571.427199999999,545.712597372567
"44",44,1118085,1118085,55,200,575.508799999999,451.163477228438
"45",45,1117885,1117885,63,180,579.590399999999,531.301763639882
"46",46,1117705,1117705,59,180,583.671999999999,497.446330745211
"47",47,1117525,1117525,57,200,587.753599999999,471.554172164054
"48",48,1117325,1117325,64,180,591.835199999999,546.896280138771
"49",49,1117145,1117145,55,200,595.916799999999,452.068741148344
"50",50,1116945,1116945,62,180,599.998399999999,528.667588054044
