"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
"1",1,1124799,1124799,59,120,400,497.670615584864
"2",2,1124679,1124679,59,120,404.0816,497.670615584864
"3",3,1124559,1124559,67,120,408.1632,576.208817382798
"4",4,1124439,1124439,63,120,412.2448,535.129576401969
"5",5,1124319,1124319,53,140,416.3264,436.998544069714
"6",6,1124179,1124179,53,140,420.408,431.273982430595
"7",7,1124039,1124039,62,120,424.4896,526.674673028181
"8",8,1123919,1123919,67,120,428.5712,577.900795044427
"9",9,1123799,1123799,60,140,432.6528,506.932511269139
"10",10,1123659,1123659,52,160,436.7344,421.857916785502
"11",11,1123499,1123499,55,160,440.816,452.249693480926
"12",12,1123339,1123339,65,120,444.8976,551.819709890891
"13",13,1123219,1123219,66,120,448.9792,568.918062303025
"14",14,1123099,1123099,57,140,453.0608,477.50314109999
"15",15,1122959,1122959,51,160,457.1424,416.804249420947
"16",16,1122799,1122799,57,160,461.224,479.268706353143
"17",17,1122639,1122639,66,140,465.3056,569.760152370328
"18",18,1122499,1122499,65,140,469.3872,550.45578126951
"19",19,1122359,1122359,55,160,473.4688,450.757074784039
"20",20,1122199,1122199,52,180,477.5504,422.509937774652
"21",21,1122019,1122019,60,160,481.632,508.736112750523
"22",22,1121859,1121859,67,140,485.7136,578.109005581772
"23",23,1121719,1121719,62,140,489.7952,524.970378001256
"24",24,1121579,1121579,53,180,493.8768,430.252904789434
"25",25,1121399,1121399,53,180,497.9584,438.215833964412
"26",26,1121219,1121219,63,140,502.04,536.731243023075
"27",27,1121079,1121079,67,140,506.121599999999,575.755445757535
"28",28,1120939,1120939,59,160,510.203199999999,495.852712411895
"29",29,1120779,1120779,51,200,514.284799999999,418.718732663764
"30",30,1120579,1120579,56,180,518.366399999999,461.832251857462
"31",31,1120399,1120399,65,160,522.447999999999,559.529315419497
"32",32,1120239,1120239,66,140,526.529599999999,563.012616526475
"33",33,1120099,1120099,56,180,530.611199999999,466.976920766266
"34",34,1119919,1119919,51,200,534.692799999999,417.689192231976
"35",35,1119719,1119719,59,180,538.774399999999,490.217002025044
"36",36,1119539,1119539,67,160,542.855999999999,574.09702224662
"37",37,1119379,1119379,64,160,546.937599999999,541.575964822316
"38",38,1119219,1119219,54,200,551.019199999999,442.184957744662
"39",39,1119019,1119019,52,200,555.100799999999,427.301264939601
"40",40,1118819,1118819,61,180,559.182399999999,519.593463375914
"41",41,1118639,1118639,67,160,563.263999999999,578.496114672602
"42",42,1118479,1118479,61,180,567.345599999999,514.297659872324
"43",43,1118299,1118299,52,200,571.427199999999,424.775420301008
"44",44,1118099,1118099,54,200,575.508799999999,446.276054326255
"45",45,1117899,1117899,64,180,579.590399999999,546.053066594899
"46",46,1117719,1117719,67,160,583.671999999999,572.14128878812
"47",47,1117559,1117559,58,200,587.753599999999,484.807109058959
"48",48,1117359,1117359,51,220,591.835199999999,417.064665842375
"49",49,1117139,1117139,57,200,595.916799999999,472.088944555037
"50",50,1116939,1116939,66,180,599.998399999999,566.075333432487
